"學年度","設立別","學程別","群科別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
109,縣市立,進修部,學術群,292,1,1,4,1,3,0,95,0.342465753424658,0.342465753424658,1.36986301369863,0.342465753424658,1.02739726027397,0,32.5342465753425
109,縣市立,進修部,機械群,196,1,14,4,2,1,0,0,0.510204081632653,7.14285714285714,2.04081632653061,1.02040816326531,0.510204081632653,0,0
109,縣市立,進修部,動力機械群,131,0,15,0,0,1,0,0,0,11.4503816793893,0,0,0.763358778625954,0,0
109,縣市立,進修部,電機與電子群,203,2,10,15,1,0,0,10,0.985221674876847,4.92610837438424,7.38916256157636,0.492610837438424,0,0,4.92610837438424
109,縣市立,進修部,化工群,21,0,0,3,0,0,0,0,0,0,14.2857142857143,0,0,0,0
109,縣市立,進修部,土木與建築群,39,0,1,0,0,0,0,0,0,2.56410256410256,0,0,0,0,0
109,縣市立,進修部,商業與管理群,266,0,4,8,1,2,0,1,0,1.50375939849624,3.00751879699248,0.37593984962406,0.75187969924812,0,0.37593984962406
109,縣市立,進修部,外語群,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,進修部,設計群,54,2,2,3,0,0,1,2,3.7037037037037,3.7037037037037,5.55555555555556,0,0,1.85185185185185,3.7037037037037
109,縣市立,進修部,食品群,30,0,0,0,0,0,0,2,0,0,0,0,0,0,6.66666666666667
109,縣市立,進修部,家政群,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,進修部,餐旅群,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,私立,普通科,學術群,22119,7,32,10,354,10,23,5,0.03164700031647,0.14467200144672,0.0452100004521,1.60043401600434,0.0452100004521,0.10398300103983,0.02260500022605
109,私立,專業群科,機械群,1312,2,12,28,6,2,1,6,0.152439024390244,0.914634146341463,2.13414634146341,0.457317073170732,0.152439024390244,0.076219512195122,0.457317073170732
109,私立,專業群科,動力機械群,3020,14,78,125,13,2,0,9,0.463576158940397,2.58278145695364,4.13907284768212,0.43046357615894,0.0662251655629139,0,0.298013245033113
109,私立,專業群科,電機與電子群,5356,13,109,104,30,12,2,48,0.242718446601942,2.03510082150859,1.94174757281553,0.560119492158327,0.224047796863331,0.0373412994772218,0.896191187453323
109,私立,專業群科,土木與建築群,102,0,1,1,0,0,0,0,0,0.980392156862745,0.980392156862745,0,0,0,0
109,私立,專業群科,商業與管理群,5425,13,75,102,12,10,14,15,0.23963133640553,1.38248847926267,1.88018433179724,0.221198156682028,0.184331797235023,0.258064516129032,0.276497695852535
109,私立,專業群科,外語群,3737,4,8,29,17,5,6,8,0.107037730800107,0.214075461600214,0.776023548300776,0.454910355900455,0.133797163500134,0.160556596200161,0.214075461600214
109,私立,專業群科,設計群,4090,7,43,68,21,9,8,16,0.171149144254279,1.05134474327628,1.66259168704156,0.513447432762836,0.220048899755501,0.19559902200489,0.39119804400978
109,私立,專業群科,農業群,60,0,5,0,2,1,0,0,0,8.33333333333333,0,3.33333333333333,1.66666666666667,0,0
109,私立,專業群科,食品群,103,0,4,16,0,0,0,0,0,3.88349514563107,15.5339805825243,0,0,0,0
109,私立,專業群科,家政群,3947,12,11,189,8,20,3,18,0.304028375981758,0.278692677983278,4.78844692171269,0.202685583987839,0.506713959969597,0.0760070939954396,0.456042563972637
109,私立,專業群科,餐旅群,10698,22,165,467,33,21,20,75,0.205645915124322,1.54234436343242,4.36530192559357,0.308468872686483,0.196298373527762,0.186950831931202,0.701065619742008
109,私立,專業群科,海事群,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,私立,專業群科,藝術群,2245,6,12,78,20,2,2,22,0.267260579064588,0.534521158129176,3.47438752783964,0.89086859688196,0.089086859688196,0.089086859688196,0.979955456570156
109,私立,專業群科,綜合,320,18,0,84,6,10,0,13,5.625,0,26.25,1.875,3.125,0,4.0625
109,私立,綜合高中,學術群,904,0,0,0,9,0,3,0,0,0,0,0.995575221238938,0,0.331858407079646,0
109,私立,綜合高中,電機與電子群,222,0,2,1,1,1,1,0,0,0.900900900900901,0.45045045045045,0.45045045045045,0.45045045045045,0.45045045045045,0
109,私立,綜合高中,化工群,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,私立,綜合高中,商業與管理群,382,2,5,1,2,0,0,6,0.523560209424084,1.30890052356021,0.261780104712042,0.523560209424084,0,0,1.57068062827225
109,私立,綜合高中,外語群,270,0,0,0,0,1,0,1,0,0,0,0,0.37037037037037,0,0.37037037037037
109,私立,綜合高中,設計群,99,1,1,0,0,0,0,0,1.01010101010101,1.01010101010101,0,0,0,0,0
109,私立,綜合高中,家政群,171,2,4,2,0,0,0,0,1.16959064327485,2.33918128654971,1.16959064327485,0,0,0,0
109,私立,綜合高中,餐旅群,421,1,18,5,3,2,1,0,0.237529691211401,4.27553444180523,1.18764845605701,0.712589073634204,0.475059382422803,0.237529691211401,0
109,私立,綜合高中,綜合,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,私立,實用技能學程,機械群,79,1,1,3,0,1,0,0,1.26582278481013,1.26582278481013,3.79746835443038,0,1.26582278481013,0,0
