學年度,設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
107,私立,新竹市,2607,1,63,44,13,10,1,8
107,私立,苗栗縣,1919,3,36,58,14,7,2,4
107,私立,彰化縣,3748,21,100,88,56,9,1,0
107,私立,南投縣,1079,5,28,27,18,0,2,4
107,私立,雲林縣,2860,24,67,100,56,7,4,6
107,私立,嘉義市,2022,34,86,134,15,2,40,31
107,私立,屏東縣,1941,19,78,87,51,7,3,23
107,私立,臺東縣,407,5,0,4,7,1,1,3
107,私立,花蓮縣,1212,3,26,13,21,3,2,30
107,私立,澎湖縣,0,0,0,0,0,0,0,0
107,私立,基隆市,1503,2,15,10,9,0,0,3
107,私立,新竹市,2773,8,68,31,25,4,2,2
107,私立,嘉義市,2634,1,69,47,40,4,4,0
107,私立,金門縣,0,0,0,0,0,0,0,0
107,私立,連江縣,0,0,0,0,0,0,0,0
108,國立,新北市,442,0,0,0,11,0,0,0
108,國立,臺北市,1317,0,3,0,45,0,2,1
108,國立,桃園市,1555,1,19,2,26,3,1,3
108,國立,臺中市,1427,0,3,20,30,2,1,1
108,國立,臺南市,9197,17,84,67,193,11,4,10
108,國立,高雄市,4080,10,28,23,78,1,2,8
108,國立,宜蘭縣,3202,5,53,35,60,4,1,9
108,國立,新竹市,1446,0,1,10,17,2,0,21
108,國立,苗栗縣,2763,0,11,14,47,1,1,5
108,國立,彰化縣,8103,21,37,84,102,9,0,16
108,國立,南投縣,2893,6,25,24,45,5,0,24
108,國立,雲林縣,3183,6,47,41,68,8,1,6
108,國立,嘉義市,854,1,1,12,14,1,0,8
108,國立,屏東縣,3425,8,58,27,78,4,1,16
108,國立,臺東縣,1225,2,15,5,27,6,0,6
108,國立,花蓮縣,1630,4,7,20,36,1,0,0
108,國立,澎湖縣,679,1,8,4,10,2,0,6
108,國立,基隆市,1280,5,5,18,28,0,0,14
108,國立,新竹市,2690,1,11,5,55,2,0,1
108,國立,嘉義市,3480,2,27,34,102,1,0,12
108,國立,金門縣,434,3,8,0,3,0,0,7
108,國立,連江縣,81,0,0,0,2,0,0,0
108,國立,新北市,12227,12,57,61,291,10,6,95
108,國立,臺北市,17990,14,25,27,423,4,14,21
108,國立,桃園市,7852,7,27,18,171,4,7,10
108,國立,臺中市,12179,22,69,43,206,5,3,23
108,國立,臺南市,573,0,0,1,13,0,0,0
108,國立,高雄市,10098,23,44,17,272,5,6,10
108,國立,宜蘭縣,91,0,0,1,2,1,0,0
108,國立,新竹市,415,0,5,0,4,0,0,0
108,國立,苗栗縣,568,0,8,2,4,0,0,0
108,國立,彰化縣,879,0,5,1,15,2,0,2
108,國立,南投縣,220,0,4,2,13,0,0,0
108,國立,雲林縣,355,0,8,0,6,0,0,1
108,國立,嘉義市,262,3,11,0,8,0,0,1
108,國立,屏東縣,534,1,0,0,10,1,1,0
108,國立,臺東縣,19,0,0,1,0,0,0,0
108,國立,花蓮縣,30,0,0,0,0,0,0,1
108,國立,澎湖縣,0,0,0,0,0,0,0,0
108,國立,基隆市,348,1,1,0,6,0,0,0
108,國立,新竹市,856,0,9,0,12,0,0,3
108,國立,嘉義市,0,0,0,0,0,0,0,0
108,國立,金門縣,0,0,0,0,0,0,0,0
108,國立,連江縣,0,0,0,0,0,0,0,0
108,私立,新北市,10245,39,100,182,117,17,15,91
108,私立,臺北市,8944,6,81,60,120,12,20,61
108,私立,桃園市,12388,38,237,286,86,17,9,78
108,私立,臺中市,14796,39,193,261,182,18,22,43
108,私立,臺南市,6126,21,60,115,99,5,4,44
108,私立,高雄市,9468,86,149,292,111,33,56,51
108,私立,宜蘭縣,332,0,5,0,4,0,0,0
108,私立,新竹市,1953,6,32,42,7,2,0,5
108,私立,苗栗縣,1539,0,36,43,13,8,2,7
108,私立,彰化縣,2547,7,35,55,43,14,0,27
108,私立,南投縣,884,2,42,70,3,0,0,11
108,私立,雲林縣,2075,11,26,44,38,2,0,10
108,私立,嘉義市,1763,4,43,106,14,4,12,1
108,私立,屏東縣,1395,19,24,54,35,6,0,22
108,私立,臺東縣,310,4,17,3,0,2,1,4
108,私立,花蓮縣,1008,6,12,5,10,2,0,28
108,私立,澎湖縣,0,0,0,0,0,0,0,0
108,私立,基隆市,1053,0,12,4,7,2,0,0
108,私立,新竹市,2398,3,40,5,27,1,2,4
108,私立,嘉義市,2115,0,48,37,21,2,0,0
108,私立,金門縣,0,0,0,0,0,0,0,0
108,私立,連江縣,0,0,0,0,0,0,0,0
109,國立,新北市,422,0,0,0,1,0,0,0
109,國立,臺北市,1232,4,5,0,19,0,0,1
109,國立,桃園市,1400,3,13,3,10,0,0,2
109,國立,臺中市,1365,3,6,21,9,1,0,1
109,國立,臺南市,8567,16,80,81,88,28,1,22
109,國立,高雄市,3831,6,34,11,53,2,2,6
109,國立,宜蘭縣,3063,4,27,26,18,7,0,29
109,國立,新竹市,1418,2,1,7,2,0,0,15
109,國立,苗栗縣,2502,0,6,14,13,2,0,4
109,國立,彰化縣,7608,18,55,54,40,4,1,14
109,國立,南投縣,2679,5,32,27,20,1,0,12
109,國立,雲林縣,2930,8,30,27,22,5,0,7
109,國立,嘉義市,819,2,4,13,10,0,0,8
109,國立,屏東縣,3244,9,27,48,40,2,2,11
109,國立,臺東縣,1186,1,11,1,10,0,0,3
109,國立,花蓮縣,1561,2,10,22,12,4,0,4
109,國立,澎湖縣,651,5,6,12,6,4,1,6
109,國立,基隆市,1162,5,5,10,2,1,1,5
109,國立,新竹市,2555,2,0,4,27,0,1,3
109,國立,嘉義市,3327,7,12,28,42,1,2,20
109,國立,金門縣,474,1,19,2,2,0,0,16
109,國立,連江縣,96,0,0,0,0,0,0,0
109,國立,新北市,11774,15,46,43,137,29,4,140
109,國立,臺北市,17831,8,22,30,147,7,8,9
109,國立,桃園市,7512,5,7,22,61,2,3,17
109,國立,臺中市,11614,23,54,54,118,12,2,11
109,國立,臺南市,534,1,0,0,5,1,0,0
109,國立,高雄市,9460,22,22,20,172,1,2,15
109,國立,宜蘭縣,75,0,0,1,4,0,0,0
109,國立,新竹市,444,0,5,0,11,0,0,0
109,國立,苗栗縣,544,0,2,1,0,0,0,2
109,國立,彰化縣,796,0,8,0,2,1,0,0
109,國立,南投縣,223,0,0,0,3,0,0,0
109,國立,雲林縣,382,0,11,0,3,1,0,0
109,國立,嘉義市,296,0,7,3,4,0,0,0
109,國立,屏東縣,585,0,0,3,3,0,0,0
109,國立,臺東縣,22,0,0,4,0,0,0,0
109,國立,花蓮縣,44,0,0,0,0,0,0,0
109,國立,基隆市,291,0,1,6,3,0,1,0
