學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
103,國立,專業群科,土木與建築群,436,0,7,1,8,0,0,0
103,國立,專業群科,商業與管理群,2672,1,11,3,35,2,2,2
103,國立,專業群科,外語群,326,0,1,0,0,0,0,0
103,國立,專業群科,設計群,1224,0,1,0,10,1,1,0
103,國立,專業群科,農業群,105,0,0,0,0,0,0,0
103,國立,專業群科,食品群,79,0,0,0,0,0,0,0
103,國立,專業群科,家政群,152,0,0,0,5,0,0,0
103,國立,專業群科,餐旅群,231,0,0,0,3,0,0,0
103,國立,專業群科,藝術群,76,0,0,0,1,0,0,0
103,國立,專業群科,綜合,264,7,0,16,2,1,0,22
103,國立,綜合高中,學術群,2155,0,7,1,46,1,3,2
103,國立,綜合高中,機械群,62,0,2,0,1,0,0,0
103,國立,綜合高中,電機與電子群,248,0,1,0,2,0,0,0
103,國立,綜合高中,化工群,49,0,0,0,1,0,0,0
103,國立,綜合高中,土木與建築群,127,0,2,0,3,0,0,0
103,國立,綜合高中,商業與管理群,526,0,4,3,5,0,0,0
103,國立,綜合高中,外語群,53,0,1,0,1,0,0,0
103,國立,綜合高中,設計群,136,0,1,0,3,0,0,0
103,國立,綜合高中,農業群,19,0,0,0,0,0,0,0
103,國立,綜合高中,家政群,46,0,0,0,5,0,0,0
103,國立,綜合高中,餐旅群,99,0,0,0,1,0,0,0
103,國立,實用技能學程,機械群,58,0,1,0,0,0,0,0
103,國立,實用技能學程,動力機械群,83,0,1,2,0,0,0,0
103,國立,實用技能學程,電機與電子群,59,0,8,0,0,1,0,2
103,國立,實用技能學程,土木與建築群,10,0,0,0,0,0,0,0
103,國立,實用技能學程,商業與管理群,112,0,2,2,0,0,0,1
103,國立,實用技能學程,設計群,15,0,2,0,0,0,0,0
103,國立,實用技能學程,餐旅群,30,0,0,0,0,0,0,0
103,國立,實用技能學程,美容造型群,34,0,0,0,19,0,0,0
103,國立,進修部,學術群,373,1,0,0,0,0,0,100
103,國立,進修部,機械群,306,0,8,8,4,0,1,2
103,國立,進修部,動力機械群,77,0,2,2,1,0,0,0
103,國立,進修部,電機與電子群,312,4,5,4,2,1,0,1
103,國立,進修部,化工群,16,0,0,0,0,0,0,0
103,國立,進修部,土木與建築群,46,0,0,0,0,0,0,0
103,國立,進修部,商業與管理群,269,0,9,6,3,1,0,0
103,國立,進修部,設計群,108,0,1,1,0,0,0,0
103,國立,進修部,餐旅群,51,0,0,0,1,0,0,3
103,私立,普通科,學術群,28447,11,116,8,581,3,24,15
103,私立,專業群科,機械群,1757,6,78,40,16,0,2,8
103,私立,專業群科,動力機械群,4167,26,374,132,18,10,2,25
103,私立,專業群科,電機與電子群,10759,29,507,185,42,14,7,84
103,私立,專業群科,土木與建築群,183,2,3,1,7,1,0,0
103,私立,專業群科,商業與管理群,11879,26,272,142,61,17,8,45
103,私立,專業群科,外語群,5183,8,28,31,36,2,21,15
103,私立,專業群科,設計群,6564,17,89,71,110,10,25,31
103,私立,專業群科,食品群,81,1,8,7,0,0,0,0
103,私立,專業群科,家政群,6631,37,49,205,37,26,7,41
103,私立,專業群科,餐旅群,20299,64,655,627,87,44,22,113
103,私立,專業群科,海事群,47,0,11,0,0,0,0,0
103,私立,專業群科,藝術群,2510,5,59,42,81,9,11,11
103,私立,專業群科,綜合,408,18,0,84,0,19,0,2
103,私立,綜合高中,學術群,1990,0,25,4,26,1,2,4
103,私立,綜合高中,機械群,44,0,3,1,0,0,0,0
103,私立,綜合高中,動力機械群,109,0,10,11,1,0,0,0
103,私立,綜合高中,電機與電子群,1065,1,51,6,3,1,2,2
103,私立,綜合高中,化工群,179,0,0,0,0,0,0,0
103,私立,綜合高中,商業與管理群,2173,2,38,9,7,3,1,1
103,私立,綜合高中,外語群,1331,1,10,1,15,1,4,0
103,私立,綜合高中,設計群,718,1,4,1,2,0,0,3
103,私立,綜合高中,家政群,658,1,4,4,5,0,0,16
