學年度,設立別,學程別,群科別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
106,國立,實用技能學程,電機與電子群,496,48,2,24,17,4,1,0
106,國立,實用技能學程,食品群,218,10,0,3,5,1,1,0
106,國立,實用技能學程,餐旅群,459,24,0,8,12,1,3,0
106,國立,專業群科,動力機械群,1830,178,3,80,40,53,2,0
106,國立,專業群科,化工群,1389,40,0,15,8,14,1,2
106,國立,專業群科,商業與管理群,9021,193,7,68,28,79,3,8
106,國立,專業群科,土木與建築群,1578,74,2,20,16,35,1,0
106,國立,專業群科,外語群,1521,25,0,3,3,14,1,4
106,國立,專業群科,家政群,1386,26,4,2,9,6,1,4
106,國立,專業群科,機械群,5630,286,16,111,55,101,2,1
106,國立,專業群科,水產群,211,16,1,10,5,0,0,0
106,國立,專業群科,海事群,252,24,1,14,7,1,1,0
106,國立,專業群科,綜合,1055,254,59,4,172,5,14,0
106,國立,專業群科,藝術群,208,4,0,4,0,0,0,0
106,國立,專業群科,設計群,2341,69,8,11,16,33,0,1
106,國立,專業群科,農業群,1686,87,4,26,44,9,4,0
106,國立,專業群科,電機與電子群,7292,276,16,106,25,111,12,6
106,國立,專業群科,食品群,1236,62,7,19,22,11,2,1
106,國立,專業群科,餐旅群,1399,34,2,17,8,6,1,0
106,國立,普通科,學術群,72889,2615,28,212,60,2250,17,48
106,國立,綜合高中,動力機械群,7,2,0,0,2,0,0,0
106,國立,綜合高中,化工群,82,5,2,2,0,1,0,0
106,國立,綜合高中,商業與管理群,1132,35,3,9,7,15,1,0
106,國立,綜合高中,土木與建築群,208,1,0,0,0,0,0,1
106,國立,綜合高中,外語群,252,1,0,0,0,1,0,0
106,國立,綜合高中,學術群,6205,185,9,21,7,146,0,2
106,國立,綜合高中,家政群,80,2,0,1,1,0,0,0
